#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=4147 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:33 type:P dur:2 cpbdur:2 q:31.09 aq:24.81 tex:179430 mv:66713 misc:2033 imb:5299 pmb:2568 smb:293 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:30.94 aq:26.68 tex:61607 mv:37100 misc:7973 imb:763 pmb:3909 smb:3488 d:s ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:31.30 aq:24.99 tex:85991 mv:42526 misc:7155 imb:2212 pmb:3068 smb:2880 d:s ref:0 ;
in:38 out:36 type:P dur:2 cpbdur:2 q:31.30 aq:25.53 tex:161602 mv:61100 misc:2218 imb:4125 pmb:3631 smb:404 d:s ref:0 ;
in:36 out:37 type:B dur:2 cpbdur:2 q:31.30 aq:25.46 tex:67647 mv:55353 misc:7112 imb:1885 pmb:3867 smb:2408 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:31.30 aq:26.45 tex:36568 mv:28879 misc:8081 imb:526 pmb:3325 smb:4309 d:- ref:0 ;
in:41 out:39 type:P dur:2 cpbdur:2 q:31.35 aq:25.65 tex:176567 mv:65403 misc:2606 imb:4497 pmb:3219 smb:444 d:s ref:0 ;
in:39 out:40 type:B dur:2 cpbdur:2 q:31.32 aq:25.54 tex:54591 mv:43201 misc:8080 imb:1030 pmb:3764 smb:3366 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:31.34 aq:26.54 tex:30483 mv:24143 misc:7918 imb:377 pmb:2774 smb:5009 d:- ref:0 ;
in:46 out:42 type:P dur:2 cpbdur:2 q:31.36 aq:26.66 tex:290590 mv:66788 misc:966 imb:6146 pmb:1963 smb:51 d:s ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:31.36 aq:25.92 tex:135729 mv:64764 misc:6323 imb:2028 pmb:4310 smb:1822 d:s ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:31.35 aq:26.71 tex:42565 mv:30375 misc:8076 imb:653 pmb:3183 smb:4324 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:31.36 aq:27.85 tex:58681 mv:31638 misc:8025 imb:630 pmb:3284 smb:4246 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:31.36 aq:28.54 tex:69260 mv:28286 misc:7926 imb:494 pmb:3591 smb:4075 d:- ref:0 ;
